month,hour,temp,humidity,precip,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility
1,0,26.710483870967742,82.89951612903226,0.23306451612903228,33.16532258064516,25.491935483870968,50.443548387096776,1011.6854838709677,74.94193548387096,22.91904761904762
1,1,26.61774193548387,83.25290322580646,0.2411290322580645,32.89274193548387,25.30483870967742,52.0991935483871,1011.1048387096774,74.24274193548388,23.228571428571428
1,2,26.521774193548385,83.5700806451613,0.24596774193548387,33.01048387096775,25.128225806451614,53.34193548387096,1010.516129032258,76.0733870967742,23.366666666666667
1,3,26.45725806451613,83.77379032258065,0.33306451612903226,34.24516129032258,25.031451612903226,51.23870967741936,1010.2741935483871,76.3967741935484,22.1
1,4,26.426612903225806,83.875,0.3338709677419355,34.395161290322584,25.023387096774194,52.773387096774194,1010.2903225806451,76.99758064516129,23.238095238095237
1,5,26.42258064516129,83.86153225806451,0.2862903225806452,34.4508064516129,25.049999999999997,54.61370967741936,1010.5241935483871,76.95483870967742,23.1
1,6,26.481451612903225,83.54379032258065,0.21290322580645163,34.406451612903226,22.598387096774193,48.8,1011.1209677419355,75.475,22.209523809523812
1,7,26.498387096774195,83.40282258064516,0.20887096774193548,34.34516129032258,23.508870967741935,52.5991935483871,1011.758064516129,74.64274193548388,23.166666666666668
1,8,26.57177419354839,83.00879032258065,0.2056910569105691,34.05528455284553,24.086290322580645,54.016935483870974,1012.3629032258065,73.94274193548387,22.795238095238098
1,9,26.669354838709676,82.49975806451613,0.16451612903225807,34.020967741935486,24.066129032258065,51.91209677419355,1012.7741935483871,75.30483870967741,22.847619047619048
1,10,26.776612903225807,81.8916935483871,0.16048387096774194,33.64758064516129,23.686290322580643,50.471774193548384,1012.6693548387096,74.65564516129032,23.242857142857144
1,11,26.916935483870965,81.1558870967742,0.15403225806451615,33.14677419354839,22.940322580645162,48.343548387096774,1012.1935483870968,75.03145161290323,23.17142857142857
1,12,27.05806451612903,80.40040322580644,0.17258064516129032,32.27741935483871,22.120967741935484,46.03709677419355,1011.483870967742,74.26048387096773,23.685714285714287
1,13,27.1508064516129,80.01451612903226,0.17419354838709677,31.080645161290324,21.51451612903226,42.85967741935484,1010.483870967742,74.05483870967741,23.604761904761908
1,14,27.218548387096774,79.8041129032258,0.16370967741935485,30.251612903225805,21.37983870967742,42.26048387096775,1009.6451612903226,74.09758064516129,22.928571428571427
1,15,27.253225806451614,79.93725806451613,0.44596774193548383,30.261290322580646,22.11774193548387,58.067741935483866,1009.3548387096774,74.59274193548387,23.376190476190477
1,16,27.24516129032258,80.27435483870968,0.45564516129032256,31.113709677419354,22.806451612903224,64.39435483870967,1009.5,74.20806451612903,22.038095238095238
1,17,27.208870967741937,80.68564516129032,0.4653225806451613,32.07096774193548,23.615322580645163,59.81935483870968,1009.8306451612904,75.21693548387097,21.042857142857144
1,18,27.13225806451613,81.26790322580645,0.3975806451612903,33.15161290322581,22.826612903225808,59.3258064516129,1010.5322580645161,75.65403225806452,22.81904761904762
1,19,27.07983870967742,81.4733870967742,0.30000000000000004,33.91048387096774,23.93306451612903,50.62822580645161,1011.0241935483871,76.12903225806451,22.55714285714286
1,20,27.061290322580643,81.38927419354839,0.23548387096774193,34.557258064516134,25.2241935483871,42.66451612903226,1011.6774193548387,76.04032258064517,21.91818181818182
1,21,26.979032258064517,81.79983870967742,0.2217741935483871,34.66612903225807,25.712903225806453,45.41612903225807,1012.0322580645161,74.43790322580645,23.34090909090909
1,22,26.896774193548385,82.04298387096775,0.2241935483870968,34.27258064516129,25.644354838709678,44.73548387096774,1012.016129032258,73.9733870967742,22.83636363636364
1,23,26.81693548387097,82.40064516129033,0.19112903225806452,33.75725806451613,25.6,48.06693548387097,1011.9354838709677,73.91854838709678,22.8
2,0,26.742477876106197,81.93176991150443,0.08495575221238938,33.72300884955752,24.96637168141593,59.49026548672566,1012.5132743362832,63.9212389380531,23.54
2,1,26.608849557522124,82.5724778761062,0.0743362831858407,33.43451327433628,24.807079646017698,59.5353982300885,1011.9203539823009,66.43185840707964,23.51
2,2,26.490265486725665,83.11345132743362,0.08761061946902655,33.11327433628319,24.825663716814162,59.431858407079645,1011.3362831858407,68.00619469026549,22.5
2,3,26.395575221238936,83.51371681415928,0.16017699115044248,34.20619469026549,24.961061946902653,58.94601769911504,1011.1238938053098,67.20442477876107,23.98
2,4,26.361946902654868,83.59699115044248,0.15398230088495574,34.356637168141596,25.212389380530972,61.78849557522124,1011.0884955752213,67.43008849557522,24.1
2,5,26.371681415929203,83.48699115044248,0.14601769911504425,34.56371681415929,25.342477876106194,62.382300884955754,1011.3982300884956,66.93097345132743,24.1
2,6,26.463716814159294,82.95292035398231,0.16106194690265485,34.802654867256635,23.282300884955752,57.45929203539823,1012.0176991150443,66.41592920353982,22.470000000000002
2,7,26.47699115044248,82.83778761061947,0.1752212389380531,34.769911504424776,24.130973451327435,58.26548672566372,1012.5398230088496,64.88672566371682,20.76
2,8,26.530973451327434,82.54407079646018,0.17964601769911506,34.776106194690264,24.799115044247788,56.37345132743363,1013.1769911504425,64.5,22.17
2,9,26.624778761061947,82.05221238938053,0.1743362831858407,34.59380530973451,24.670796460176994,56.63274336283186,1013.5221238938053,64.59115044247788,23.55
2,10,26.761946902654866,81.29699115044248,0.12831858407079647,33.99911504424779,23.953982300884956,55.76814159292036,1013.6017699115044,64.29026548672566,22.910000000000004
2,11,26.938938053097345,80.30893805309735,0.14247787610619467,33.220353982300885,22.927433628318585,53.47079646017699,1013.0176991150443,64.05398230088495,22.580000000000002
2,12,27.108849557522124,79.33654867256638,0.17345132743362834,31.853097345132745,21.90884955752212,50.77345132743363,1012.3097345132743,64.88230088495575,21.740000000000002
2,13,27.27522123893805,78.54283185840708,0.17787610619469027,30.3141592920354,20.7716814159292,46.614159292035396,1011.3805309734513,64.72212389380532,21.65
2,14,27.313274336283186,78.59814159292036,0.1690265486725664,29.17699115044248,20.090265486725663,58.170796460176994,1010.5398230088496,66.40442477876105,20.0
2,15,27.332743362831856,78.92504424778761,0.311504424778761,28.04778761061947,20.016814159292036,71.3070796460177,1010.2743362831858,67.40176991150442,21.31
2,16,27.33008849557522,79.47805309734514,0.3194690265486726,28.60353982300885,20.538938053097347,72.01946902654868,1010.2566371681415,67.22743362831858,20.71
2,17,27.335398230088497,79.99477876106195,0.25575221238938056,29.15575221238938,21.19646017699115,74.66194690265486,1010.6017699115044,66.36725663716814,17.48
2,18,27.322123893805312,80.4095575221239,0.2336283185840708,29.553097345132745,20.36371681415929,73.82300884955752,1011.0619469026549,66.20796460176992,21.0
2,19,27.272566371681418,80.53796460176991,0.24778761061946902,30.802654867256635,21.643362831858404,64.48141592920354,1011.7168141592921,65.70265486725664,21.07
2,20,27.206194690265487,80.59159292035399,0.21327433628318582,32.37079646017699,23.445132743362834,59.01592920353983,1012.3008849557522,65.15044247787611,22.09
2,21,27.13982300884956,80.54681415929204,0.1442477876106195,33.657522123893806,24.627433628318585,57.403539823008856,1012.858407079646,63.3716814159292,23.12
2,22,27.00176991150442,80.89123893805309,0.10530973451327434,34.46017699115044,25.080530973451328,60.068141592920355,1012.9203539823009,60.896460176991155,24.1
2,23,26.86371681415929,81.38070796460177,0.09469026548672567,34.33185840707964,25.17345132743363,58.70265486725663,1012.8141592920354,61.935398230088495,21.9
3,0,27.07983870967742,81.63048387096775,0.10161290322580645,29.56451612903226,22.780645161290323,58.06290322580645,1011.8225806451613,57.33709677419355,
3,1,26.90806451612903,82.30467741935485,0.1217741935483871,29.08709677419355,22.53790322580645,59.14354838709678,1011.1935483870968,60.12419354838709,
3,2,26.75483870967742,82.94435483870969,0.13145161290322582,28.733064516129033,22.44193548387097,60.023387096774194,1010.6854838709677,62.145161290322584,
3,3,26.65806451612903,83.27774193548387,0.10161290322580645,30.288709677419355,22.43306451612903,60.26370967741936,1010.483870967742,63.4741935483871,
3,4,26.601612903225806,83.54427419354839,0.10483870967741936,30.429032258064513,22.36774193548387,60.689516129032256,1010.4112903225806,63.55806451612903,
3,5,26.570967741935487,83.62185483870968,0.13145161290322582,30.385483870967743,22.32741935483871,61.428225806451614,1010.6774193548387,62.641935483870974,
3,6,26.70967741935484,82.80016129032258,0.17903225806451611,30.426612903225806,20.80806451612903,56.18709677419355,1011.2983870967741,61.95887096774193,
3,7,26.736290322580647,82.68766129032258,0.1879032258064516,30.412096774193547,21.376612903225805,56.65887096774193,1012.008064516129,60.79435483870968,
3,8,26.77741935483871,82.50064516129032,0.17822580645161293,30.201612903225808,21.600806451612904,56.196774193548386,1012.5403225806451,60.72741935483871,
3,9,26.885483870967743,81.98427419354839,0.14596774193548387,29.871774193548386,21.66532258064516,56.48467741935484,1012.9758064516129,60.08790322580645,
3,10,27.03467741935484,81.1541935483871,0.11612903225806452,29.21451612903226,21.03306451612903,56.295967741935485,1012.9677419354839,60.71612903225807,
3,11,27.20403225806452,80.18024193548388,0.0967741935483871,28.04274193548387,19.693548387096776,53.916935483870965,1012.3467741935484,59.152419354838706,
3,12,27.399193548387096,79.09604838709677,0.08870967741935484,26.353225806451615,18.38064516129032,49.502419354838715,1011.7096774193549,59.270967741935486,
3,13,27.51290322580645,78.64556451612903,0.07822580645161291,24.970967741935485,17.51451612903226,42.928225806451614,1010.741935483871,61.03387096774193,
3,14,27.58225806451613,78.65040322580644,0.05887096774193548,24.141935483870967,17.353225806451615,65.40645161290323,1010.0564516129032,61.49193548387097,
3,15,27.621774193548386,78.94,0.15241935483870966,25.154838709677417,17.854032258064517,79.12016129032257,1009.5887096774194,59.748387096774195,
3,16,27.62983870967742,79.49137096774194,0.15483870967741936,25.93306451612903,18.720967741935485,93.21290322580644,1009.483870967742,59.49032258064516,
3,17,27.612903225806452,80.21806451612903,0.1403225806451613,26.416935483870965,19.236290322580647,84.62983870967743,1009.766129032258,60.468548387096774,
3,18,27.57741935483871,80.8115322580645,0.13951612903225807,26.906451612903226,18.97983870967742,84.43387096774192,1010.1693548387096,61.05,
3,19,27.529838709677417,81.28645161290324,0.15403225806451615,27.88951612903226,20.20241935483871,66.8016129032258,1010.8145161290323,61.291935483870965,
3,20,27.479032258064517,81.36596774193548,0.16048387096774194,28.65564516129032,21.383870967741935,47.95,1011.3467741935484,60.63306451612903,
3,21,27.449193548387097,81.07435483870967,0.14596774193548387,29.293548387096774,22.05806451612903,48.2008064516129,1011.8548387096774,59.12016129032258,
3,22,27.38225806451613,80.91741935483871,0.12903225806451613,29.595161290322583,22.551612903225806,53.17258064516129,1012.1532258064516,56.8233870967742,
3,23,27.261290322580646,81.13435483870968,0.12016129032258065,29.57177419354839,22.510483870967743,56.88467741935484,1012.0725806451613,56.71209677419355,
4,0,27.855,80.70541666666666,0.20583333333333334,25.897499999999997,19.805,86.93833333333333,1010.3333333333334,58.288333333333334,
4,1,27.685,81.2025,0.17,25.67,19.4325,86.37833333333333,1009.7416666666667,60.711666666666666,
4,2,27.53666666666667,81.69175,0.17666666666666667,25.410833333333336,19.204166666666666,88.88166666666666,1009.225,63.43083333333333,
4,3,27.430833333333332,82.02991666666667,0.2,26.4225,18.86916666666667,89.9375,1008.8583333333333,64.59666666666666,
4,4,27.3575,82.20866666666667,0.18333333333333332,26.272499999999997,18.704166666666666,87.93416666666667,1008.8833333333333,65.5975,
4,5,27.334999999999997,82.28625000000001,0.2025,26.215,18.576666666666664,88.43083333333334,1009.2833333333333,65.92083333333333,
4,6,27.4375,81.81758333333333,0.19916666666666666,25.845833333333335,16.7875,82.87916666666666,1009.7916666666666,67.49083333333333,
4,7,27.45583333333333,81.64691666666666,0.22666666666666666,25.4525,17.095833333333335,85.33083333333335,1010.4333333333333,66.545,
4,8,27.50583333333333,81.34441666666666,0.22083333333333333,25.20583333333333,16.964166666666667,85.32916666666667,1011.0916666666667,64.48,
4,9,27.618333333333332,80.68483333333333,0.18583333333333335,24.94,16.620833333333334,85.71333333333334,1011.4666666666667,64.66666666666667,
4,10,27.769166666666667,79.82341666666666,0.17666666666666667,24.102500000000003,15.994166666666667,83.21416666666667,1011.2833333333333,64.00333333333333,
4,11,27.956666666666667,78.74991666666666,0.15666666666666668,22.9575,15.108333333333333,80.55166666666668,1010.8666666666667,63.233333333333334,
4,12,28.113333333333333,77.83458333333333,0.1383333333333333,21.716666666666665,14.182500000000001,75.39833333333333,1010.1833333333333,61.74083333333333,
4,13,28.198333333333334,77.41275,0.14333333333333334,20.688333333333333,13.452499999999999,66.75416666666666,1009.3,61.361666666666665,
4,14,28.246666666666666,77.40633333333334,0.16166666666666665,20.325,13.4825,78.59666666666666,1008.5,60.06166666666666,
4,15,28.302500000000002,77.40558333333334,0.2808333333333334,20.910833333333336,14.126666666666667,97.75166666666668,1008.0666666666667,59.06583333333333,
4,16,28.34,77.63191666666667,0.26083333333333336,21.503333333333334,14.864166666666668,119.52416666666666,1007.9833333333333,57.167500000000004,
4,17,28.3275,78.27074999999999,0.23,22.1425,15.364166666666668,103.9925,1008.175,55.98583333333333,
4,18,28.4125,78.70458333333333,0.22333333333333333,22.776666666666664,15.845833333333333,100.49333333333334,1008.6583333333333,56.5875,
4,19,28.363333333333333,79.39058333333334,0.22000000000000003,23.58833333333333,16.806666666666665,84.9525,1009.375,57.4025,
