name,datetime,temp,humidity,precip,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,stations,source
"talisay, daanbantayan, cebu",2026-02-12T22:00:00,26.6,88.27,0,38.5,32.4,36.8,1012,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-12T23:00:00,26.3,88.78,0.1,38.5,33.1,40.5,1012,99.1,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T00:00:00,26.2,88.77,0.1,37.4,33.1,40.2,1011,100,14.6,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T01:00:00,26.1,88.76,0.2,34.6,32,44.3,1011,100,4.6,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T02:00:00,26.2,87.19,0,30.6,29.9,47.8,1010,97.4,19.5,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T03:00:00,26.2,87.19,0,38.5,27,46.3,1010,99.5,13.6,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T04:00:00,26.3,86.67,0,36.4,25.2,47.9,1010,100,7.3,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T05:00:00,26.3,86.67,0,32.8,23.4,55.5,1010,100,10,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T06:00:00,26.6,84.64,0,31,20.5,64.5,1010,100,11.6,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T07:00:00,26.7,84.14,0,31,17.6,69.6,1012,100,19.9,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T08:00:00,26.7,83.64,0,29.5,15.8,65.8,1012,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T09:00:00,26.7,83.64,0,29.9,20.5,63.1,1012,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T10:00:00,26.6,84.13,0,29.5,20.5,60.2,1012,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T11:00:00,26.9,82.16,0,30.6,17.3,53.4,1011,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T12:00:00,27.2,81.22,0,29.9,19.8,43.7,1010,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T13:00:00,27.3,81.23,0,27,23,42.7,1009,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T14:00:00,27.4,82.22,0,23.4,22.3,36.6,1009,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T15:00:00,27.4,83.72,0,28.1,21.2,29.5,1009,99.5,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T16:00:00,27.4,85.74,0,27.4,20.9,24.1,1008,96.4,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T17:00:00,27.4,86.77,0,27,19.8,24,1009,84.1,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T18:00:00,27.2,88.32,0,25.2,20.9,27.1,1009,89.8,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T19:00:00,27.4,86.77,0,23.8,19.4,39.5,1010,98,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T20:00:00,27.5,85.24,0,22.7,19.4,49.2,1011,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T21:00:00,27.5,84.73,0,23.4,20.9,54.6,1012,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T22:00:00,27.2,85.72,0,23.8,22,55.4,1011,98.3,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-13T23:00:00,27,86.22,0,24.1,21.6,53.1,1011,98,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T00:00:00,26.8,86.72,0,24.5,21.6,51,1011,96.9,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T01:00:00,26.6,87.22,0,25.9,22.3,54.1,1011,94.9,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T02:00:00,26.4,88.26,0,27.4,23,56.6,1010,79.6,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T03:00:00,26.4,88.26,0,29.5,23.4,55.9,1010,65.4,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T04:00:00,26.4,87.73,0,30.2,23.8,53.5,1010,34,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T05:00:00,26.4,87.2,0,30.6,24.8,53.7,1010,25.9,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T06:00:00,26.4,86.16,0,31.3,22.7,46.8,1011,10.2,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T07:00:00,26.5,85.65,0,31,21.2,46.7,1011,5.3,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T08:00:00,26.5,85.65,0,28.8,20.5,46.5,1012,9.5,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T09:00:00,26.6,85.66,0,27,20.5,44.3,1012,13.8,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T10:00:00,26.7,85.16,0,28.1,19.4,44.4,1012,26.7,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T11:00:00,26.8,84.66,0,31.3,18.7,39.9,1012,35.9,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T12:00:00,27,84.18,0,25.9,16.9,34.1,1011,30.1,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T13:00:00,27.3,83.7,0,22.3,14,36,1010,43.2,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T14:00:00,27.6,82.74,0,19.8,14,49.4,1009,86.3,18.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T15:00:00,27.7,82.75,0.1,24.1,16.2,67.1,1009,90.4,8.5,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T16:00:00,27.7,83.25,0,23,18.7,79,1009,83.9,7.6,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T17:00:00,27.6,83.74,0,23.8,18,80.2,1009,69.9,7.5,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T18:00:00,27.3,84.71,0,23,15.5,73.4,1010,79.1,8.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T19:00:00,27.2,85.21,0,20.5,15.5,68,1011,89.7,23.2,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T20:00:00,27.2,84.7,0,18.7,16.2,67.1,1012,91.2,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T21:00:00,27,85.19,0.2,21.6,15.1,69.9,1012,96.4,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T22:00:00,26.9,84.16,0.1,19.4,14,65.8,1012,97.1,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-14T23:00:00,26.8,84.66,0,14.8,14.8,60.9,1013,97.7,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T00:00:00,26.6,85.66,0,11.9,16.9,57.4,1012,86.9,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T01:00:00,26.6,85.66,0,14,19.1,57.3,1011,65.7,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T02:00:00,26.5,86.69,0,18.4,19.8,56.2,1010,69,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T03:00:00,26.4,87.2,0,26.6,20.9,56.3,1011,78.3,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T04:00:00,26.3,88.25,0,27.7,21.6,61.6,1010,79.7,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T05:00:00,26.3,87.72,0,27.7,21.2,67,1011,80.4,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T06:00:00,26.5,86.17,0,27.4,20.2,64.9,1011,81,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T07:00:00,26.5,86.17,0,27.4,19.8,68.2,1012,74.7,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T08:00:00,26.5,86.17,0,26.3,18.4,70,1012,67.7,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T09:00:00,26.6,85.66,0,24.1,17.3,69.4,1013,75,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T10:00:00,26.7,84.65,0,22,16.9,65.6,1013,86.3,24.1,remote,obs
